,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality
1,0.51261923,0.514301493,0.515831458,0.48000385,0.483251769,0.486053671,2.642454103,2.699988495,3.040341717,1
2,0.51263343,0.514313708,0.515842187,0.479974762,0.483235789,0.486031418,2.638096151,2.695015304,3.03601981,0.99
3,0.512642398,0.514326969,0.515852943,0.479936621,0.4832197,0.486017356,2.633530901,2.690254957,3.028609473,0.98
4,0.512653965,0.514333956,0.515863202,0.479896866,0.483202516,0.485999212,2.628878203,2.686082957,3.021345963,0.97
5,0.512669028,0.514346671,0.515884312,0.47985312,0.4831736,0.485975565,2.623582679,2.680529032,3.015024805,0.96
6,0.512687446,0.514366133,0.515895964,0.479810455,0.483144627,0.485946631,2.617455623,2.675451245,3.00919507,0.95
7,0.512701549,0.514382005,0.515902881,0.479766534,0.483109853,0.485924457,2.611721731,2.669907209,3.003310225,0.94
8,0.512716685,0.514399489,0.515912223,0.479721692,0.483081452,0.485900643,2.606415421,2.664419826,2.997372013,0.93
9,0.5127329,0.514417153,0.515924098,0.479677224,0.483057069,0.48587511,2.59995122,2.658463048,2.990476725,0.92
10,0.512749715,0.514434935,0.515928445,0.47963182,0.483020664,0.485848613,2.593579869,2.654141719,2.981086443,0.91
11,0.512769272,0.514452433,0.515933092,0.479585906,0.482991261,0.485817763,2.58751422,2.649950832,2.97330796,0.9
12,0.512785155,0.514475148,0.515943214,0.479542614,0.482950515,0.485792689,2.58135859,2.644093493,2.968219426,0.89
13,0.512800919,0.514497913,0.515953305,0.479511121,0.48290919,0.485767782,2.574826899,2.638690975,2.963080609,0.88
14,0.512817983,0.514509067,0.515963412,0.479479891,0.482875807,0.485738373,2.567903496,2.634253116,2.957890452,0.87
15,0.512832168,0.514524722,0.515973533,0.479450168,0.482854586,0.485710191,2.560997803,2.629071767,2.952647866,0.86
16,0.512845276,0.514544537,0.515984472,0.479428263,0.48281867,0.485681664,2.553558343,2.624383513,2.947242328,0.85
17,0.512860648,0.514562962,0.516006989,0.479384945,0.482787932,0.485652283,2.546126325,2.619384198,2.941253597,0.84
18,0.51287647,0.514581034,0.516023214,0.47935025,0.482756189,0.485622336,2.538463562,2.613468595,2.93691762,0.83
19,0.512894209,0.514601136,0.51602782,0.479316034,0.482708981,0.485591484,2.531111054,2.607727284,2.931615257,0.82
20,0.512912684,0.51462151,0.516037825,0.479256841,0.482666788,0.485559988,2.523159219,2.602567879,2.926256354,0.81
21,0.512931523,0.514642118,0.516048216,0.479214973,0.482623693,0.48552786,2.51597708,2.598909823,2.919904111,0.8
22,0.512951543,0.514663008,0.516056666,0.47917495,0.482593794,0.485499643,2.508756434,2.593128622,2.913244817,0.79
23,0.512972612,0.514684171,0.516074418,0.479132617,0.482555125,0.485472767,2.500990476,2.588021853,2.907830609,0.78
24,0.512994134,0.514701436,0.516084003,0.47908977,0.482502981,0.485445371,2.493620467,2.582967873,2.902360218,0.77
25,0.513016098,0.514719167,0.516087361,0.479048087,0.482440645,0.48541744,2.486143275,2.57779512,2.896832338,0.76
26,0.513038343,0.514737309,0.516095475,0.479008892,0.482396418,0.485388719,2.478497319,2.571903508,2.891245614,0.75
27,0.513056322,0.514754789,0.516103317,0.478969204,0.482376802,0.485352689,2.470521746,2.565835605,2.885598639,0.74
28,0.513075607,0.514780033,0.516117954,0.478929015,0.482350294,0.485315668,2.462486195,2.560059248,2.879258866,0.73
29,0.51309788,0.514803444,0.516124505,0.478888313,0.482314662,0.485277354,2.454216397,2.554693149,2.874118051,0.72
30,0.513120672,0.514824509,0.516137438,0.478842853,0.482266654,0.48524084,2.446117236,2.549632842,2.86828135,0.71
31,0.513143932,0.514849044,0.516151925,0.478758375,0.482215501,0.485212137,2.438117404,2.544174713,2.861852236,0.7
32,0.513166896,0.514872471,0.516154754,0.478713404,0.482174422,0.485181725,2.430290839,2.538107417,2.85640696,0.69
33,0.51319183,0.514894157,0.51616053,0.478646022,0.482116203,0.485142383,2.421447477,2.532128835,2.850263092,0.68
34,0.51321636,0.514920532,0.516170542,0.478593174,0.482077491,0.485093107,2.412155326,2.525078858,2.843936182,0.67
35,0.513239928,0.514949343,0.516181043,0.478562981,0.482033498,0.485043691,2.403462267,2.518830669,2.837663694,0.66
36,0.513269661,0.514973299,0.516192149,0.478532365,0.481977402,0.485007344,2.394725273,2.512852682,2.831925018,0.65
37,0.513293519,0.514988984,0.516204805,0.478471757,0.481923515,0.484965187,2.38575677,2.507302532,2.82575231,0.64
38,0.513315628,0.515001937,0.5162172,0.478428281,0.481874491,0.484915134,2.37660437,2.500612473,2.819501352,0.63
39,0.51334294,0.515023703,0.516220675,0.478371894,0.481823111,0.484873062,2.367284852,2.493454269,2.813169912,0.62
40,0.513370841,0.515047739,0.516224753,0.478298517,0.481772037,0.484841244,2.358116285,2.485454865,2.806601157,0.61
41,0.513399951,0.515069396,0.51622747,0.478224152,0.481714668,0.484790883,2.349155937,2.478975009,2.799996926,0.6
42,0.513429349,0.515090588,0.516226239,0.478149665,0.481660701,0.484745378,2.339207518,2.472646074,2.79268444,0.59
43,0.513450962,0.515120111,0.516226557,0.478068789,0.481612977,0.48469432,2.329456439,2.46462372,2.785990448,0.58
44,0.513474398,0.515143121,0.516225736,0.47799878,0.481546222,0.484639444,2.320189014,2.45753206,2.779519154,0.57
45,0.513499762,0.515167874,0.516234523,0.477947131,0.48149715,0.484591389,2.309102576,2.450381,2.773093472,0.56
46,0.513521226,0.515193122,0.516232312,0.477893618,0.481440913,0.484538022,2.299381089,2.442550555,2.767062613,0.55
47,0.513549565,0.515214127,0.516238775,0.477840712,0.481385858,0.484482847,2.288239373,2.434587443,2.761203681,0.54
48,0.513585164,0.515237794,0.516244431,0.477791426,0.481327386,0.484425831,2.276934725,2.425864341,2.75525246,0.53
49,0.513629384,0.515271313,0.516247926,0.477729882,0.481256444,0.484376001,2.266688268,2.418263529,2.749205737,0.52
50,0.513670851,0.515299672,0.51625082,0.477663552,0.481201727,0.484315487,2.25635747,2.410838284,2.743060124,0.51
51,0.513681205,0.515323828,0.516257872,0.477589915,0.481149004,0.484253121,2.245335316,2.403561668,2.73575509,0.5
52,0.513704902,0.515359674,0.51626546,0.477498703,0.481082369,0.484181078,2.233957601,2.393985134,2.728925035,0.49
53,0.513731645,0.515382708,0.516272752,0.477444482,0.481011382,0.484114686,2.22199472,2.385212308,2.724547815,0.48
54,0.513765151,0.515418577,0.516269913,0.477364874,0.480919908,0.484049422,2.209762227,2.376672445,2.715938783,0.47
55,0.513783005,0.515455149,0.516274394,0.4772703,0.480829665,0.483983564,2.197607985,2.368302765,2.704926302,0.46
56,0.513816092,0.515491603,0.516274456,0.477198736,0.480727593,0.483924359,2.185644265,2.359749705,2.694239442,0.45
57,0.513837049,0.515522307,0.516277658,0.47713261,0.480661781,0.4838621,2.173767181,2.351160694,2.687380565,0.44
58,0.513879033,0.515538006,0.51627949,0.477064069,0.480574146,0.483804469,2.160318453,2.34188143,2.679758601,0.43
59,0.513916262,0.515568388,0.516286213,0.476972064,0.480485449,0.483757804,2.146537503,2.332025052,2.672138709,0.42
60,0.513963986,0.515586013,0.51628986,0.476882064,0.480387163,0.483678041,2.133309768,2.321806972,2.665993898,0.41
61,0.51399296,0.515613993,0.516293359,0.47681849,0.480302464,0.483599072,2.120835787,2.311565753,2.656732208,0.4
62,0.514004262,0.515634266,0.51629702,0.476755045,0.480237269,0.483511127,2.107002276,2.301041488,2.646258424,0.39
63,0.514030836,0.515654066,0.516296848,0.476674516,0.480132733,0.483393761,2.09274004,2.292083411,2.635053464,0.38
64,0.514076742,0.515670969,0.516294204,0.476594616,0.480023012,0.483319932,2.07781831,2.281860577,2.626059375,0.37
65,0.514113127,0.515686221,0.516297746,0.476567789,0.479924994,0.483251076,2.063160404,2.272155948,2.619744862,0.36
66,0.514158013,0.515686212,0.51630167,0.476504887,0.479820643,0.483175437,2.049225166,2.259260719,2.617012957,0.35
67,0.514184652,0.515708306,0.516305834,0.476453238,0.47972465,0.483105525,2.035046711,2.247715756,2.614844068,0.34
68,0.514200489,0.515741689,0.516301118,0.476390412,0.479627104,0.483027923,2.020034944,2.235613541,2.612446276,0.33
69,0.514230691,0.51577249,0.516300393,0.476309189,0.479526908,0.482919217,2.004844715,2.223593903,2.604219779,0.32
70,0.514234198,0.515789545,0.51630412,0.476243599,0.479400824,0.48282894,1.9890364,2.212090102,2.59526082,0.31
71,0.51426802,0.515821519,0.516297444,0.476181784,0.479281629,0.482707529,1.971588452,2.200360613,2.585960598,0.3
72,0.514292896,0.515844992,0.516301066,0.476111799,0.479146872,0.482614386,1.955961012,2.188467481,2.576171266,0.29
73,0.514298591,0.51585618,0.516303502,0.476079828,0.479009319,0.482571172,1.938737264,2.174382483,2.566204905,0.28
74,0.51416938,0.515845681,0.516302209,0.476003066,0.478886468,0.482464575,1.922362734,2.160379044,2.553227481,0.27
75,0.514145757,0.515854163,0.516301659,0.475955141,0.478752458,0.48234009,1.9054181,2.146854745,2.543516733,0.26
76,0.514011253,0.51584549,0.516303866,0.475882496,0.478613,0.482185646,1.887234697,2.132601792,2.534646287,0.25
77,0.513846428,0.515839296,0.516304221,0.475827268,0.478489985,0.482096156,1.868098964,2.117042066,2.521583086,0.24
78,0.513642593,0.51585201,0.516304486,0.475802896,0.478325905,0.482012262,1.848340506,2.103235091,2.506906661,0.23
79,0.513618585,0.515833248,0.516303769,0.475771965,0.478196416,0.481882965,1.828015212,2.087803452,2.496312826,0.22
80,0.513387294,0.515828982,0.516308089,0.475719128,0.478043032,0.481738984,1.807082043,2.071630059,2.481058235,0.21
81,0.513120161,0.515797121,0.516307298,0.475672414,0.477898945,0.481607846,1.786233608,2.055071943,2.471809962,0.2
82,0.512865831,0.515792816,0.516306827,0.475637176,0.477776535,0.481517105,1.761853574,2.038039372,2.460283786,0.19
83,0.512404484,0.515770236,0.516306977,0.475596398,0.477644596,0.481351692,1.740117964,2.018511355,2.446328261,0.18
84,0.512217244,0.515730059,0.516307785,0.475565083,0.47747729,0.481192186,1.716235735,1.999880327,2.431590712,0.17
85,0.511596365,0.515743148,0.516305141,0.475543594,0.477329083,0.481033059,1.692014901,1.980032847,2.416409947,0.16
86,0.510705778,0.515700515,0.516303911,0.475526275,0.477206115,0.481016552,1.667213826,1.956530151,2.402881311,0.15
87,0.509818064,0.515668889,0.516304922,0.47552586,0.47707157,0.480853721,1.642042509,1.934325274,2.389578875,0.14
88,0.508879165,0.515529214,0.516297514,0.475521526,0.476950156,0.480814289,1.616458629,1.910465472,2.372940512,0.13
89,0.507590854,0.515372246,0.516288449,0.475528275,0.476802183,0.480710899,1.588949473,1.885174854,2.357734071,0.12
90,0.506065102,0.515220374,0.516283995,0.475530781,0.476718101,0.480859828,1.558663289,1.858703391,2.337595453,0.11
91,0.504200779,0.51500826,0.51627691,0.475534545,0.476666838,0.481086897,1.526550394,1.830714335,2.31316603,0.1
92,0.502040348,0.514758983,0.516280396,0.47552487,0.476610694,0.481286425,1.492003075,1.801620887,2.28524832,0.09
93,0.499114432,0.514301041,0.516269566,0.475537382,0.476632804,0.481810579,1.455264471,1.769654814,2.259565326,0.08
94,0.495964838,0.513594513,0.516227325,0.475537135,0.476727596,0.482573227,1.416309212,1.735053723,2.222748259,0.07
95,0.490990938,0.512455786,0.516184468,0.475549101,0.476848913,0.483611904,1.373747766,1.696535198,2.192882164,0.06
96,0.484587791,0.510860766,0.516101097,0.475516548,0.477166254,0.486566699,1.326521815,1.649929159,2.160115714,0.05
97,0.47496288,0.508545531,0.516062739,0.475544587,0.477542701,0.49135579,1.270298346,1.597731942,2.122606327,0.04
98,0.463693037,0.504665549,0.515879498,0.475568364,0.478587426,0.497100209,1.211040115,1.532943274,2.076005576,0.03
99,0.444438161,0.497410163,0.515633976,0.475704598,0.480698263,0.507017196,1.13155074,1.449645651,2.012627664,0.02
100,0.406876219,0.479956237,0.514400312,0.476139955,0.4888519,0.526020503,1.024623337,1.331670143,1.897137435,0.01
101,0.207263336,0.224194474,0.239557485,0.588152244,0.590798476,0.59285943,0.661242432,0.745823435,0.97861589,0
